book_title,author,reader_review,rating
Choses qui tombent du ciel,Selja Ahava,"Jamais, parfois ou souvent la vie nous joue des tours. Un événement, un accident perturbe notre trajectoire. Un concours de circonstance nous entraîne en des lieux inconnus: hasard heureux ou malheureux, le fait est que rien n’est plus comme avant. Et pourtant la vie continue malgré l'irruption, l'intrusion d'événements exceptionnels, incongrus, inhabituels.",3.5
S'adapter,Clara Dupont-Monod,"« Un jour, dans une famille, est né un enfant inadapté. » Avec cette première phrase, le dernier roman de Clara Dupont-Monod, S’adapter, débute comme un conte. Puis il se poursuit comme un conte avec les pierres rousses de la cour de cette maison nichée dans les Cévennes. Ce sont elles qui vont témoigner, sans jugement, et faire le récit de la relation des trois autres enfants de la famille avec cet enfant différent, car, disent-elles « nous nous sommes attachées aux enfants ». Et la force viendra d’eux, d’une manière différente pour chacun.",4.0
La grande course de Flanagan,Tom McNab,"Ce qui est génial avec ce roman, c'est qu'on a beau savoir que tout est fictif, on le lit de A à Z en étant persuadée que tout est vrai tellement Tom McNab nous embarque totalement dans son histoire. S'inspirant des courses transaméricaines de 1928 et 1929 ( organisées par Charles C.Pyle pour promouvoir la Route 66 qui venait d'être construite ) il imagine en 1931, en pleine Grande Dépression, la Transamerica une course à pied épique reliant Los Angeles à New-York : 3 mois, 5063 km, 80km par jour à avaler, plus de 2000 concurrents venus de plus de 60 pays, dont 121 femmes, un premier prix de 150.000$.",4.0
Un dîner en bateau,Akira Yoshimura,"Dans ce recueil de dix nouvelles, écrites dans le registre du shishosetsu, genre littéraire japonais proche de l'autofiction, Akira Yoshimura entremêle présent et passé au fil des événements qui se croisent, se reproduisent, se répondent d'une nouvelle à l'autre. Akira, le narrateur, un écrivain connu à la vie modeste racole le présent au passé unissant le partage du moment dans l'action, l'écoute et la contemplation , aux souvenirs.",4.0
La Guerre d'Alan T3, Guibert et Cope,"Dans ce volume 3 de La Guerre d’Alan, Alan Cope se confie de plus en plus intimement à Emmanuel Guibert.",5.0
En attendant Bojangles,Olivier Bourdeaut,"Quand un livre suscite autant d'enthousiasme et compte autant de lecteurs ou d'avis publiés cela donne envie de se faire une idée par soi-même, histoire de ne pas mourir idiot comme on dit.",4.0
L'inondation,Eugène Zamiatine,"Recommandé chaudement par Mh17, j'ai eu le plaisir d'écouter ce court récit d'Evgueni Zamiatine sur France Culture. Un régal, le texte est non seulement narré par une femme qui a un timbre de voix et des intonations en totale osmose avec l'esprit du texte mais il est accompagné d'une musique de fonds parfaite, donnant à la tension dramatique du récit encore plus de profondeur.",5.0
La fille au revolver,Amy Stewart,"Dans ce livre, j’ai beaucoup aimé ce mélange de douce ironie, de tendresse et de pétulance.",5.0
em,THUY Kim,"En 1973, le photographe Chick Harrity émut l'Amérique avec une image prise pendant la guerre du Viêt Nam : une toute petite fille endormie dans une boîte en carton, donnant la main à son frère couché à ses côtés dans une rue de Saigon. Ces deux orphelins ont inspiré à Kim Thuy les personnages de cette histoire : Em Hong, bébé abandonné recueilli par Louis, lui aussi enfant des rues de Saigon, évacués de la capitale au cours de l'opération Babylift qui, en 1975, envoya aux Etats-Unis trois mille enfants vietnamiens, orphelins de guerre ou nés de GI‘s.",4.0
Les contreforts,Guillaume Sire,Qu’est-ce qui n’est pas impossible ?,4.5
Tropique de la violence,Nathacha Appanah,Waouh... Mais comment un livre aussi violent peut-il être aussi poétique ?!!,4.0
Le Train des enfants,Viola Ardone,"En 1946, Amerigo, huit ans, vit misérablement avec sa mère Antonietta dans un des quartiers les plus populaires de Naples. Sur une initiative du Parti Communiste, et comme des milliers d’autres enfants du Sud de l’Italie, il est envoyé pour quelques mois dans une famille du Nord de la péninsule, où il découvre un tout autre mode de vie, plein d’appréciables avantages malgré la séparation et le dépaysement. Après une telle expérience, le garçon se retrouve d’autant plus déchiré entre son amour pour sa mère et son attachement à sa famille d’adoption, qu’il vient soudain d’entrevoir à Modène un avenir bien différent de celui qui l’attend à Naples…",3.5
Robert E. Lee,Vincent Bernard,"Le cimetière national américain d'Arlington en Virginie, où reposent notamment les Kennedy, a été créé durant la guerre de Sécession sur la plantation de George Washington Custis, le fils adoptif de George Washington, dont la fille unique Mary Ann Randolph hérita à sa mort en 1857. Mary Ann avait épousé en 1831 le lieutenant Robert E. Lee futur général en chef des armées des États confédérés.",4.0
Oliva Denaro,Viola Ardone,"« Tout n'est que sujet de douleur pour elle: la lumière du matin qui entre à travers les persiennes mis-clos, le corps de mon père qui ronfle allongé à côté d'elle, ma maigreur informe, le travail aux champs, la sécheresse…. »,",4.5
"L'interdépendance, tome 3 : La dernière Emperox",Scalzi John,"Troisième et dernier tome de l’Interdépendance. Oui, vous avez bien lu, une trilogie en trois tomes. C’est tellement rare de nos jours. Tiens, si d’ici l’année prochaine, un tome 4 faisait son apparition, l’organisation du Bout par exemple, cela ne m’étonnerait qu’à moitié.",4.0
Les aventures d'un sous-locataire,Iouri Bouïda,"Boire ou écrire, autant ne pas choisir.",4.0
"Le clan des Otori, tome 1 : Le silence du rossignol (BD)",Stéphane Melchior,"La première chose qui m’a plu dans cet album qui se déroule dans un Japon féodal imaginaire de la seconde moitié du XVIe siècle, époque des provinces en guerre, est la couverture magnifique aux dessins et couleurs splendides.",4.0
Jacqueline Jacqueline,Jean-Claude Grumberg,"Après avoir adoré l’ouvrage bouleversant qu’il a publié sous forme de conte en 2019 et avoir été charmé par l’homme lors de son dernier passage à La Grande Librairie il y a quelques semaines, je me suis attaqué à son « Jacqueline Jacqueline », titre rendant hommage à sa femme Jacqueline, décédée le 4 mai 2019, au moment où je me joignais aux louanges concernant « La plus précieuse des marchandises ».",3.5
Revenir fils,Christophe Perruchas,"Orphelin de père, le narrateur, âgé de quatorze ans, grandit tant bien que mal auprès d'une mère de plus en plus inaccessible. Réfugiée dans un monde où revit son premier né, que la mort subite du nourrisson a emporté, elle présente des signes croissants du syndrome de Diogène et accumule maladivement les objets. Deux décennies plus tard, devenu père à son tour après avoir été finalement élevé par son oncle et sa tante, le fils tente désespérément d'établir le contact avec sa mère, désormais terrée dans une maison débordante d'immondices.",5.0
Enfant de salaud,Sorj Chalandon,"Alors qu'il arpente les couloirs de la Maison d'Izieu, là où, le 7 avril 1944, 44 enfants et 7 adultes juifs furent arrêtés puis déportés (suite à une dénonciation ?), Sorj Chalandon s'interroge, quant à lui, sur le rôle de son père pendant la guerre. Pourquoi est-il devenu un traître ? Qu'est-ce qui a bien pu le pousser à rejoindre le camp ennemi ? ... Aujourd'hui, la terrible phrase de son grand-père, prononcée en 1962 alors que le petit Sorj n'avait que 10 ans, le hante encore : « ton père, pendant la guerre il était du mauvais côté ». Si enfant, il ne comprenait pas le sens de ces paroles, en ces jours historiques où se déroule le procès de Klaus Barbie qu'il couvre en tant que journaliste, Sorj Chalandon replonge dans le passé de son père, ses mensonges, ses faits et ses méfaits d'armes...",4.5
Fractures,Franck Thilliez,"Du mystère, du mystère, du mystère... et des questions ! Voilà ce qui m’est venu à l’esprit dès le début et pour un long, très long moment.",5.0
Femmes en colère,Mathieu Menegaux,"Palais de justice de Rennes, 25 juin 2020. Après quatre journées de débats animés, Clément Largeron, le président de la cour d'assises de Rennes, met un terme aux débats. Chaque partie a défendu, autant que faire se peut, ses clients. Du côté des parties civiles, les deux avocates sont confiantes en ce qui concerne la culpabilité de Mathilde Collignon. D'autant qu'elles sont presque sûres que le président et ses deux assesseurs feront pencher la balance en faveur de la culpabilité. Ce qui suppose alors que seuls trois jurés votent aussi pour. Une formalité selon elle. Si l'avocat général a requis une peine exemplaire, soit vingt ans, elles en espèrent quinze. Me Delannoy, l'avocat de Mathilde, déplore, quant à lui, le fait que sa cliente n'ait pas, au terme de sa déclaration, exprimé des regrets. Dans la salle de délibération où prennent place le président, ses deux assesseurs et les six jurés, chacun devra voter en son âme et conscience : Mathilde Collignon s'est-elle rendue coupable d'actes de torture et de barbarie ?",4.0
Sable bleu,Yves Grevet,"C'est vrai, je ne suis pas le public ciblé, puisque ce livre s'adresse aux adolescent.e.s, je dirais aux 15/16 ans. Reçu dans le cadre de la Masse critique jeunesse, je m'étais promis de le lire en essayant de me mettre à la place d'une adolescente, ce qui n'est pas chose aisée j'en conviens vu que cette période de ma vie est relativement loin. Je l'avais choisi pour son thème à savoir une utopie écologique, très curieuse de la façon dont cet auteur, Yves Grevet, s'adresse à ce public pour partager ces préoccupations en la matière.",2.0
Chambres noires,Karine Giebel,"Je ne lis pas de nouvelles . C'est un genre tellement difficile qu'en dehors des "" maîtres "" Poe et Maupassant , que j'adore , peu d'auteurs trouvent grâce à mes yeux . Ne croyez pas que je sois prétentieux en affirmant cela mais , non , vraiment , ce n'est pas "" mon truc "" , c'est tout . Comme dirait l'autre , "" Va comprendre "" . Ben justement , c'est si peu important qu'on ne va pas se torturer l'esprit avec ce détail.",4.0
"Le Cycle de Fondation, tome 2 : Fondation et Empire",Isaac Asimov,"Si je vous dis Le Mulet, à quoi pensez-vous immédiatement ?",5.0
Le bureau des affaires occultes,Éric Fouassier,"Un bon ""polar"" avec un cadre historique précis, ici sous la Restauration, qui nous permettra de nous instruire en cours de lecture sur cette partie de notre histoire, ce qui est un aspect que j'apprécie dans ce type de roman.",4.0
Nous,Evgueni Zamiatine,"Voilà un chef d'oeuvre…un livre magnifiquement écrit, aux images saisissantes, une oeuvre engagée, militante, qui a valu à son auteur exil et censure. de la science-fiction écrite par un russe, Evguéni Zamiatine, en 1920, précurseur et influenceur d'un Orwell et de son 1984. Rien que ça ! Une des premières dystopies jamais écrite ayant pour colonne vertébrale l'amour et pour objet la dénonciation du communisme…Un roman violemment hérétique ! Epoustouflée par son audace et sa plume je suis. Quelle claque ! Ce livre raconte l'histoire d'une tentative, celle de faire exploser un Etat totalitaire.",5.0
L'incroyable histoire du coq qui ne voulait pas fermer son bec,Thomas Gerbeaux,"""Le coq est roi sur son fumier.”",4.5
Saint Jacques,Bénédicte Belpois,"Paloma ne sait rien de son père et, de sa mère, n’a jamais connu que le rejet, initié dans un déni de grossesse. Aussi, grande est sa surprise lorsqu’à son décès, cette mère lui laisse en héritage une maison délabrée dans les Cévennes et un cahier dévoilant le secret de sa naissance. Incapable de se séparer de la bâtisse, elle s’y installe et se lance dans sa restauration, nouant bientôt des liens avec quelques habitants du cru, comme Jacques, un entrepreneur local, et Rose, une vieille voisine qui vit seule.",4.0
Tibet : minéral animal,Vincent Munier,"Après ""La panthère des neiges"", très beau récit de Sylvain Tesson, il manquait les images. Vincent Munier les livre aux passionnés de cette belle nature tibétaine, de ses animaux et, bien sûr des bharals. Et Sylvain Tesson complète ces superbes images avec ses poèmes pleins de belles références issues notamment d'Epicure ou d'Héraclite.",5.0
Mourir au monde,Claire Conruyt,"Axelle, en religion soeur Anne, souffre à 40 ans d’une nuit de la foi accentuée par la mort de son père qui lui a rappelé que sa vocation et son entrée dans les ordres ont été incompris dans sa famille restée durablement traumatisée.",5.0
Alex,Pierre Lemaitre,Epoustouflant ! Addictif ! Incontournable !,5.0
"Ciaphas Cain, tome 4 : La mort ou la gloire",Sandy Mitchell,Jubilatoire.,4.5
Vas-y maman, Nicole De Buron,Fée du logis n’a pas de fée-blesse,5.0
Un jour glacé en enfer, Anne B. Ragde,"Roman de grand froid, froid de l'hiver norvégien, et de chaleur, chaleur animale, chaleur sexuelle, il manque la chaleur du coeur dont l'héroïne est en quête.",4.0
L'hôtel du cygne,Zhang Yueran,"Yu Ling est venue de son lointain Sishuan pour se mettre au service de riches pékinois. Mais alors que son travail de nounou auprès de Dada, le fils unique de la famille, commence à la lasser, et qu'elle envisage avec son petit ami de kidnapper l'enfant contre rançon, ses employeurs sont arrêtés pour corruption. Commence alors pour la jeune femme et Dada une vie hors du temps où, libérés des contraintes, ces deux êtres découvrent l'un avec l'autre la tendresse qui leur a manqué. L'hôtel du Cygne, une tente dressée dans l'immense salon familial par Dada, pour accueillir ceux qui comme lui n'ont pas d'amis, participant à l'éclosion de cet amour aussi inattendu qu'essentiel.",4.0
Vallées secrètes,Bernard Minier,"Ayant lu cette année mon premier roman de Bernard-Minier, La Chasse, que j'avais bien aimé, j'ai eu très envie de pénétrer dans ces ""Vallées secrètes"" pyrénéennes, constituées pour la majeure partie d'entretiens avec Fabrice Lardeau, suivis de différents extraits de lectures montagnardes choisis par Bernard-Minier.",4.0
La belle histoire des maths,Michel Rousselet,"Ce beau livre impressionne au premier abord par …son poids ! Une couverture épaisse et un beau papier glacé qui, pour un peu, feraient s’acoquiner la tête et les muscles : deux pages de lecture, trois flexions de biceps, entretien du corps et de l’esprit.",4.0
Les ombres filantes,Christian Guay-Poliquin,"Des jours qu'il marche dans la forêt. Seul. Un sac sur le dos avec le strict nécessaire. Aux aguets, toujours. Aussi bien des animaux qu'il peut croiser que des hommes. Des mois que la panne d'électricité a figé le monde. Les gens ont déserté les villes dorénavant pillées. Lui veut rejoindre sa famille, oncles, tantes, cousins, qui se sont réfugiés dans leur camp. En s'enfonçant dans la forêt de plus en plus dense et vorace, où les sentiers se font rares, il croise, par hasard, un jeune garçon. Une dizaine d'années, les cheveux en broussaille, la peau tannée, un petit sac en bandoulière. Visiblement seul, restant évasif sur les questions qu'il lui pose, il lui propose de le suivre en attendant de l'aider à retrouver ses parents...",4.5
Ce qu'il nous faut de remords et d'espérance,Céline Lapertot,"Fait du hasard , me voici plongé dans un roman concernant le difficile sujet de la "" peine de mort "" , tout juste après avoir tourné la dernière page du difficile et éprouvant "" sept jours du talion "" . Pas forcément la meilleure façon de préparer des fêtes de fin d'année auxquelles on attribue souvent le qualificatif de "" joyeuses "" ...mais , bon , quand le vin est tiré, il faut bien le boire...",4.0
"Orfan, tome 1 : Le secret du bracelet",Tertrais Gaelle,Voici un nouveau chef d’oeuvre de la littérature jeunesse !,5.0
"Poèmes du monde entier : anthologie des poètes du monde entier, de Homère à nos jours", Maury-P,"« Qui es-tu lecteur, toi qui, dans cent ans, liras mes vers ? » Rabindranath Tagore.",3.0
"La Malouine, tome 2 : Le lys et le chardon",Danielle Delouche,"Quel roman épique, retraçant les aventures de Marie Malouine.",4.5
Libres dans leur tête,Stéphanie Castillo-Soler,"""Seul le corps peut aller en prison, l'esprit ne peut être prisonnier, on ne peut pas attraper le vent...""",5.0
La pub est déclarée ! 1914-1918,Didier Daeninckx,"On pourrait raconter l'Histoire de France par la publicité. Dans La Pub est déclarée!, les nombreuses illustrations choisies témoignent de la manière dont la « réclame » intègre dès 1914 le premier conflit mondial, pour vendre aux soldats, à leurs familles, encourager l'achat patriotique, souscrire aux emprunts nationaux, fustiger l'ennemi et à la fin de la guerre, amadouer le chaland avec les silhouettes d'héroïques poilus.",4.0
Un dimanche à Ville-d'Avray,Dominique Barbéris,"Après une enfance étriquée et morose dont elles s’évadaient par de grandes rêveries romanesques inspirées de Jane Eyre, deux sœurs, l’une parisienne, l’autre habitant Ville-d’Avray, mènent désormais une vie rangée, sans éclat ni surprise, entre mari et enfant. Un dimanche d’ennui, l’aînée et narratrice rend visite à sa cadette. Au cours de leur tête à tête au jardin, le soir tombant, elle recueille avec stupéfaction les confidences de sa sœur sur ses envies vagues et réprimées d’autre chose, qui l’ont un jour conduite à une rencontre inattendue, à quelques rendez-vous secrets, et à l’éternel regret d'un possible finalement repoussé.",4.0
La porte du voyage sans retour,David Diop,"Dans ce roman fascinant, David Diop a su mêler avec talent le romanesque à l’histoire du botaniste et naturaliste français : Michel Adanson.",4.5
Le Choix de Sophie,William Styron,"Un livre dont le titre a donné naissance à une expression qui traverse le temps est-il forcément un grand livre ? J'aime poser ce genre de grande question qui est pourtant le plus souvent inutile car même si la règle s'imposait, elle comporterait forcément... des exceptions qui la confirmeraient.",5.0
Tours et détours de la vilaine fille, Mario Vargas Llosa,"Me permettez-vous de vous parler de l'histoire d'une femme ? Elle m'a tour à tour envoûté, agacé, puis de nouveau envoûté, puis... Mais au final elle m'a touché... Ne me demandez pas comment elle s'appelle. Elle a changé tant de fois d'identités et même de nationalités... Ce n'est pas étonnant que l'auteur parle alors de tours et détours. Est-ce que cela en fait pour autant une vilaine fille ? D'ailleurs, c'est le narrateur qui la surnomme ainsi.",5.0
Basilico,Giulio Macaione,"Elle qui avait toujours rêvé d'écrire un livre de recettes, accumulant des notes au fil des ans, la Grande Faucheuse ne lui aura pas laissé suffisamment de temps. Aujourd'hui, toute sa famille est réunie autour d'elle. Dix ans que cela n'était pas arrivé. Trop occupée pour l'honorer d'un déjeuner dominical. Dans son cercueil, Maria nous présente ses cinq enfants : l'aîné, Giovanni, un peu trop gentil, et sa femme, Anna, qu'il n'a jamais eu le courage de quitter ; Agata, une artiste ratée qui n'a jamais réussi à vendre ses toiles ; Diego Maria, un homosexuel qui ne se lie qu'avec des hommes riches ; Rosalia, une belle femme posée, une infirmière qui a épousé un chirurgien, son enfant préférée ; et enfin, Santo, arrivé sur le tard, qui fait des études de journalisme et voyage beaucoup. Maria, dont le mari est décédé il y a maintenant plus de 20 ans, a élevé seule ses enfants et pense, hormis quelques exceptions, avoir fait du bon travail. Son enterrement sera l'occasion pour elle de faire remonter certains souvenirs, certains secrets aussi qu'elle aurait préféré taire...",4.0
La belle histoire des cathédrales,Alain Billard,"« Salomon s’adressant à Dieu : Tu m’as ordonné de construire le Temple en ton très Saint Nom ainsi qu’un autel dans la cité où tu habites d’après le modèle de la tente très sainte que tu avais préparée dès le commencement ». (Sagesse, IX, 8).",5.0
Les désenchantées,Pierre Loti,"Immersion au coeur de Stamboul, au début du vingtième siècle, alors que des petits fantômes noirs tentent de franchir les barrières qui les condamnent à la réclusion dans des prisons dorées.",4.0
Siddhartha,Hermann Hesse,"Il est toujours difficile de s'attaquer à un monument de la littérature classique, surtout lorsqu'on a repoussé cette lecture, de manière inconsciente, car on sentait qu'il y avait un ""bon"" moment pour le faire.",4.0
Le dernier grenadier du monde,Ali Bakhtiar,"Bakhtiar Ali est né à Sulaimaniya, dans le Kurdistan irakien. Tout comme un jeune homme mort de froid et de faim à la frontière biélorusse le 8 novembre 2021. (…) Bakhtiar Ali vient du Kurdistan irakien, comme la jeune femme morte noyée dans la Manche le 24 novembre 2021 à l’âge de 24 ans, comme la plupart des familles privées de leurs biens, y compris de leurs chaussures chaudes et leurs couvertures, par les autorités biélorusses qui les obligent à se jeter, hommes, femmes, enfants, contre les barbelés (…), que la police polonaise dézingue à coups de gaz lacrymogènes et de canons à eau – qui conduiront les gens mouillés à geler sur pied – , comme tant d’autres morts sur le chemin, de faim, d’épuisement, de froid, engloutis par les flots ou empoisonnés. (…) Aujourd’hui, une partie du Kurdistan est sous le feu des armes chimiques utilisées par l’armée turque. L’État turc a lancé l’invasion du Rojava, dont il hait le projet démocratique, écologique et féministe, en Syrie, du Sinjar en Irak, et de toutes les zones administrées directement par des Kurdes ou leurs alliés. (…)",5.0
L'Auberge de la Jamaïque, Daphne Du Maurier,Dé-vo-ré ! Impossible de lâcher ce livre.... Repas retardé ce midi pour me laisser finir mes ultimes pages !,5.0
Retrouve-moi,Lisa Gardner,"Dans ce roman, Lisa Gardner nous entraîne dans une nouvelle enquête menée par DD, et par une ancienne victime Flora.",4.0
Le droit d'emmerder Dieu,Richard Malka,"Comme ça paraît bien loin, les effroyables attentats du 7 janvier 2015 contre le journal satirique Charlie Hebdo et l'hyper Cacher de la porte de Vincennes… Comme elle paraît loin la gigantesque vague d'émotion qui a suivi cette tuerie… Toutes ces marches républicaines à travers le territoire… le « Je suis Charlie » qui fleurissait un peu partout dans nos villes…",5.0
"Souvenirs d'enfance, tome 2 : Le château de ma mère",Marcel Pagnol,"Je pense que je me souviendrai à jamais de l'incipit de ce merveilleux roman de Marcel Pagnol, second tome de la trilogie de ses « Souvenirs d'enfance ».",5.0
La route,Cormac McCarthy,Angoissant.,5.0
La Maison dans laquelle,Mariam Petrosyan,"FAS-CI-NANT ! Il y a des romans qui vous habitent, et puis il y a ceux que vous devez vous-même habiter, investir totalement pour les appréhender, les faire vôtres, vous y sentir comme chez vous et prendre plaisir à explorer leurs moindres recoins. Clairement, La Maison dans laquelle vous vous apprêtez à pénétrer est de ceux-là ! Elle héberge déjà un certain nombre de jeunes pensionnaires éclopés et de personnel d'encadrement. Mais de ces derniers nous parlerons peu, tellement l'exploration de l'enfance nous occupera tout entiers. Et désormais, la Maison vous a vous aussi : lecteur, voyeur, explorateur de l'imaginaire sans bornes d'une enfance abimée, bousculée, à reconstruire sur des ruines, des exemples. Des mythes.",5.0
Un p'tit gars de Géorgie ,Erskine Caldwell,"J'avais bien apprécié ce Caldwell (Erskine)-là. Ces histoires changeaient de la veine triste de Nous les vivants, La route au tabac ou Une lampe, le soir.",4.5
Les Nuits d'amour sont transparentes - Pendant La nuit des rois,Denis Podalydès,"« Ce fut une rupture, une modification dans ma mémoire et dans mon goût du théâtre : Hedda Gabler, d'Henrik Ibsen, aux Gémeaux9, le premier spectacle que j'ai pu voir d'Ostermeier. Mon souvenir est très net. Rarement la pièce m'était apparue aussi claire et profonde. » paroles de Denis Podalydès, dont je partage la dernière phrase. Même ressenti à la fin du spectacle de « John Gabriel Borkman » d'Henrik Ibsen , le premier que j'ai pu voir de Thomas Ostermeier en avril 2009 au théâtre de l'Odeon à Paris. Etant une fervente admiratrice du théâtre de Peter Brook et d' Eimuntas Nekrosius, metteur en scène lituanien vénéré en Italie malheureusement décédé , là j'avais devant moi un autre génie, du même calibre. du travail très humain , très profond, d'une clarté incroyable qui approche le spectateur au plus près du dramaturge et de son oeuvre. Podalydès étant aussi un acteur de théâtre et de cinéma que j'apprécie énormément , vu le sujet de son dernier livre où il parle justement de son admiration pour Ostermeier et l'expérience des répétitions de «  La nuits des rois » du grand William où il le dirigea dans le rôle d'Orsino, je ne pouvais pas passer à côté.",4.0
Une journée d'Ivan Denissovitch,Alexandre Soljenitsyne,"Considéré comme espion parce qu’il a été prisonnier des Allemands en 1941 et qu’il est parvenu à s’échapper, Ivan Denissowitch a été envoyé au goulag purger une peine de dix ans. C’était le tarif à l’époque, mais maintenant c’est vingt-cinq ans, pour tout le monde, pour tous les actes.",3.5
Le livre des géants,Henry Wysham Lanier,"Alors qu'au fil du temps les géants sont passés de statut de grands dieux à celui d'êtres difformes exposés dans les foires, dans la littérature et l'imaginaire collectif le géant devenait le faire valoir grand, fort et bête du petit évidemment beaucoup plus malin. Un changement que l'universitaire américain Henri Wysham Lanier analyse ici avec méthode et précision, abordant l'histoire fascinante des géants à travers des exemples documentés issus des mythes antiques, des romans de chevalerie et des contes de fée, pour finir avec l'histoire les géants modernes.",4.5
La triste fin du petit Enfant Huître et autres histoires,Tim Burton,"Quel joli et intriguant petit volume, que celui de ces portraits écrits et illustrés par Tim Burton!",4.5
"Les jours, les mois, les années",Lianke Yan,"""Quand on est vieux, on vit seulement pour un arbre, un brin d'herbe, des petits-enfants. C'est toujours mieux de vivre que d'être mort...""",5.0
Une chaumière et un meurtre,Fred Kassak,"Décidément, il s'en passe des choses pour les employés de la société France Air Pur, qui était déjà au coeur de l'intrigue du roman Carambolages. Agnès Devillard, par exemple, secrétaire trentenaire, célibataire, deux chats, fille unique d'un charpentier de marine à la retraite. Quand elle rencontre Lionel Fribourg, égyptologue quinquagénaire, veuf et amoureux du silence, elle ne se doute pas que sa vie va être bouleversée.",4.0
Arctique : Un monde à protéger,Pierre Vernay,"Très beau livre sur l'Arctique dans lequel les photographies artistiques de Pierre Vernay offrent des visions somptueuses de ce ""monde à protéger"". Elles sont présentées accompagnées de courts commentaires riches d'informations sur tout ce qu'ont saisi les objectifs de l'auteur.",4.0
Disparaître,Mathieu Menegaux,"Je connaissais, bien entendu, l’auteur Mathieu Menegaux de nom et de réputation mais je n’avais jamais parcouru l’un de ses livres. C’est enfin chose faite et cette immersion ne sera sans aucun doute pas la dernière tellement j’ai dévoré ce livre, « Disparaître ».",5.0
Le parfum,Patrick Süskind,"Voici un livre dont à l’issue de la lecture je suis incapable de répondre sincèrement à la question : »Est-ce que je l’ai aimé ? » . Oui, je le reconnais, cette lecture me laisse un sentiment mitigé, car j’ai vraiment été en proie à des sentiments contradictoires.",3.5
La plus secrète mémoire des hommes,Mohamed Mbougar Sarr,"Un pur exercice de style, voici ce à quoi se résume pour moi La plus secrète mémoire des hommes.",3.5
L'Etranger (BD) ,Jacques Ferrandez,""" L'étranger"" d'Albert Camus en bande dessinée. Il fallait le faire.",5.0
